Jurisdiction,Week Ending Date,State Abbreviation,Year,Week,Age Group,Number of Deaths,Time Period,Type,Suppress,Note
United States,01/10/2015,US,2015,1,25-44 years,2412,2015-2019,Unweighted,,
United States,01/17/2015,US,2015,2,25-44 years,2376,2015-2019,Unweighted,,
United States,01/24/2015,US,2015,3,25-44 years,2327,2015-2019,Unweighted,,
United States,01/31/2015,US,2015,4,25-44 years,2210,2015-2019,Unweighted,,
United States,02/07/2015,US,2015,5,25-44 years,2436,2015-2019,Unweighted,,
United States,02/14/2015,US,2015,6,25-44 years,2379,2015-2019,Unweighted,,
United States,02/21/2015,US,2015,7,25-44 years,2269,2015-2019,Unweighted,,
United States,02/28/2015,US,2015,8,25-44 years,2248,2015-2019,Unweighted,,
United States,03/07/2015,US,2015,9,25-44 years,2466,2015-2019,Unweighted,,
United States,03/14/2015,US,2015,10,25-44 years,2432,2015-2019,Unweighted,,
United States,03/21/2015,US,2015,11,25-44 years,2383,2015-2019,Unweighted,,
United States,03/28/2015,US,2015,12,25-44 years,2266,2015-2019,Unweighted,,
United States,04/04/2015,US,2015,13,25-44 years,2336,2015-2019,Unweighted,,
United States,04/11/2015,US,2015,14,25-44 years,2288,2015-2019,Unweighted,,
United States,04/18/2015,US,2015,15,25-44 years,2455,2015-2019,Unweighted,,
United States,04/25/2015,US,2015,16,25-44 years,2300,2015-2019,Unweighted,,
United States,05/02/2015,US,2015,17,25-44 years,2302,2015-2019,Unweighted,,
United States,05/09/2015,US,2015,18,25-44 years,2486,2015-2019,Unweighted,,
United States,05/16/2015,US,2015,19,25-44 years,2440,2015-2019,Unweighted,,
United States,05/23/2015,US,2015,20,25-44 years,2344,2015-2019,Unweighted,,
United States,05/30/2015,US,2015,21,25-44 years,2318,2015-2019,Unweighted,,
United States,06/06/2015,US,2015,22,25-44 years,2405,2015-2019,Unweighted,,
United States,06/13/2015,US,2015,23,25-44 years,2482,2015-2019,Unweighted,,
United States,06/20/2015,US,2015,24,25-44 years,2407,2015-2019,Unweighted,,
United States,06/27/2015,US,2015,25,25-44 years,2389,2015-2019,Unweighted,,
United States,07/04/2015,US,2015,26,25-44 years,2438,2015-2019,Unweighted,,
United States,07/11/2015,US,2015,27,25-44 years,2528,2015-2019,Unweighted,,
United States,07/18/2015,US,2015,28,25-44 years,2401,2015-2019,Unweighted,,
United States,07/25/2015,US,2015,29,25-44 years,2353,2015-2019,Unweighted,,
United States,08/01/2015,US,2015,30,25-44 years,2473,2015-2019,Unweighted,,
United States,08/08/2015,US,2015,31,25-44 years,2461,2015-2019,Unweighted,,
United States,08/15/2015,US,2015,32,25-44 years,2443,2015-2019,Unweighted,,
United States,08/22/2015,US,2015,33,25-44 years,2381,2015-2019,Unweighted,,
United States,08/29/2015,US,2015,34,25-44 years,2455,2015-2019,Unweighted,,
United States,09/05/2015,US,2015,35,25-44 years,2596,2015-2019,Unweighted,,
United States,09/12/2015,US,2015,36,25-44 years,2468,2015-2019,Unweighted,,
United States,09/19/2015,US,2015,37,25-44 years,2392,2015-2019,Unweighted,,
United States,09/26/2015,US,2015,38,25-44 years,2395,2015-2019,Unweighted,,
United States,10/03/2015,US,2015,39,25-44 years,2391,2015-2019,Unweighted,,
United States,10/10/2015,US,2015,40,25-44 years,2508,2015-2019,Unweighted,,
United States,10/17/2015,US,2015,41,25-44 years,2460,2015-2019,Unweighted,,
United States,10/24/2015,US,2015,42,25-44 years,2445,2015-2019,Unweighted,,
United States,10/31/2015,US,2015,43,25-44 years,2357,2015-2019,Unweighted,,
United States,11/07/2015,US,2015,44,25-44 years,2410,2015-2019,Unweighted,,
United States,11/14/2015,US,2015,45,25-44 years,2398,2015-2019,Unweighted,,
United States,11/21/2015,US,2015,46,25-44 years,2337,2015-2019,Unweighted,,
United States,11/28/2015,US,2015,47,25-44 years,2286,2015-2019,Unweighted,,
United States,12/05/2015,US,2015,48,25-44 years,2408,2015-2019,Unweighted,,
United States,12/12/2015,US,2015,49,25-44 years,2443,2015-2019,Unweighted,,
United States,12/19/2015,US,2015,50,25-44 years,2373,2015-2019,Unweighted,,
United States,12/26/2015,US,2015,51,25-44 years,2374,2015-2019,Unweighted,,
United States,01/02/2016,US,2015,52,25-44 years,2415,2015-2019,Unweighted,,
United States,01/09/2016,US,2016,1,25-44 years,2470,2015-2019,Unweighted,,
United States,01/16/2016,US,2016,2,25-44 years,2350,2015-2019,Unweighted,,
United States,01/23/2016,US,2016,3,25-44 years,2427,2015-2019,Unweighted,,
United States,01/30/2016,US,2016,4,25-44 years,2485,2015-2019,Unweighted,,
United States,02/06/2016,US,2016,5,25-44 years,2514,2015-2019,Unweighted,,
United States,02/13/2016,US,2016,6,25-44 years,2575,2015-2019,Unweighted,,
United States,02/20/2016,US,2016,7,25-44 years,2587,2015-2019,Unweighted,,
United States,02/27/2016,US,2016,8,25-44 years,2505,2015-2019,Unweighted,,
United States,03/05/2016,US,2016,9,25-44 years,2555,2015-2019,Unweighted,,
United States,03/12/2016,US,2016,10,25-44 years,2628,2015-2019,Unweighted,,
