Jurisdiction,Week Ending Date,State Abbreviation,Year,Week,Age Group,Number of Deaths,Time Period,Type,Suppress,Note
United States,01/10/2015,US,2015,1,25-44 years,2414,2015-2019,Predicted (weighted),,
United States,01/17/2015,US,2015,2,25-44 years,2376,2015-2019,Predicted (weighted),,
United States,01/24/2015,US,2015,3,25-44 years,2327,2015-2019,Predicted (weighted),,
United States,01/31/2015,US,2015,4,25-44 years,2208,2015-2019,Predicted (weighted),,
United States,02/07/2015,US,2015,5,25-44 years,2435,2015-2019,Predicted (weighted),,
United States,02/14/2015,US,2015,6,25-44 years,2380,2015-2019,Predicted (weighted),,
United States,02/21/2015,US,2015,7,25-44 years,2269,2015-2019,Predicted (weighted),,
United States,02/28/2015,US,2015,8,25-44 years,2248,2015-2019,Predicted (weighted),,
United States,03/07/2015,US,2015,9,25-44 years,2466,2015-2019,Predicted (weighted),,
United States,03/14/2015,US,2015,10,25-44 years,2432,2015-2019,Predicted (weighted),,
United States,03/21/2015,US,2015,11,25-44 years,2383,2015-2019,Predicted (weighted),,
United States,03/28/2015,US,2015,12,25-44 years,2266,2015-2019,Predicted (weighted),,
United States,04/04/2015,US,2015,13,25-44 years,2336,2015-2019,Predicted (weighted),,
United States,04/11/2015,US,2015,14,25-44 years,2288,2015-2019,Predicted (weighted),,
United States,04/18/2015,US,2015,15,25-44 years,2455,2015-2019,Predicted (weighted),,
United States,04/25/2015,US,2015,16,25-44 years,2300,2015-2019,Predicted (weighted),,
United States,05/02/2015,US,2015,17,25-44 years,2302,2015-2019,Predicted (weighted),,
United States,05/09/2015,US,2015,18,25-44 years,2485,2015-2019,Predicted (weighted),,
United States,05/16/2015,US,2015,19,25-44 years,2440,2015-2019,Predicted (weighted),,
United States,05/23/2015,US,2015,20,25-44 years,2344,2015-2019,Predicted (weighted),,
United States,05/30/2015,US,2015,21,25-44 years,2319,2015-2019,Predicted (weighted),,
United States,06/06/2015,US,2015,22,25-44 years,2405,2015-2019,Predicted (weighted),,
United States,06/13/2015,US,2015,23,25-44 years,2482,2015-2019,Predicted (weighted),,
United States,06/20/2015,US,2015,24,25-44 years,2407,2015-2019,Predicted (weighted),,
United States,06/27/2015,US,2015,25,25-44 years,2389,2015-2019,Predicted (weighted),,
United States,07/04/2015,US,2015,26,25-44 years,2438,2015-2019,Predicted (weighted),,
